filename	GlobalId	IfcClass	OriginalName	FamilyName	ElementName	ElementID
MiC_TYPE_3_2_LK2L_MiC_TYPE_3_2_LK2L_57129635_3OJkD8bnr7ZBGamr9ZFQ2E.ifc	3OJkD8bnr7ZBGamr9ZFQ2E	IfcBuildingElementProxy	MiC_TYPE 3.2_LK2L:MiC_TYPE 3.2_LK2L:57129635	MiC_TYPE 3.2_LK2L	MiC_TYPE 3.2_LK2L	57129635
MiC_TYPE_3_1_LK1L_MiC_TYPE_3_1_LK1L_57129862_3OJkD8bnr7ZBGamr9ZFQ6h.ifc	3OJkD8bnr7ZBGamr9ZFQ6h	IfcBuildingElementProxy	MiC_TYPE 3.1_LK1L:MiC_TYPE 3.1_LK1L:57129862	MiC_TYPE 3.1_LK1L	MiC_TYPE 3.1_LK1L	57129862
MiC_TYPE_3_LK1L_MiC_TYPE_3_LK1L_57130029_3OJkD8bnr7ZBGamr9ZFQO0.ifc	3OJkD8bnr7ZBGamr9ZFQO0	IfcBuildingElementProxy	MiC_TYPE 3_LK1L:MiC_TYPE 3_LK1L:57130029	MiC_TYPE 3_LK1L	MiC_TYPE 3_LK1L	57130029
MiC_TYPE_3B1_LD2L_MiC_TYPE_3B1_LD2L_57130471_3OJkD8bnr7ZBGamr9ZFQVA.ifc	3OJkD8bnr7ZBGamr9ZFQVA	IfcBuildingElementProxy	MiC_TYPE 3B1_LD2L:MiC_TYPE 3B1_LD2L:57130471	MiC_TYPE 3B1_LD2L	MiC_TYPE 3B1_LD2L	57130471
MiC_TYPE_3B2_LD1L_LD2R_MiC_TYPE_3B2_LD1L_LD2R_57130561_3OJkD8bnr7ZBGamr9ZFQHi.ifc	3OJkD8bnr7ZBGamr9ZFQHi	IfcBuildingElementProxy	MiC_TYPE 3B2_LD1L & LD2R:MiC_TYPE 3B2_LD1L & LD2R:57130561	MiC_TYPE 3B2_LD1L & LD2R	MiC_TYPE 3B2_LD1L & LD2R	57130561
MiC_TYPE_3B2_LD1L_LD2R_MiC_TYPE_3B2_LD1L_LD2R_57130577_3OJkD8bnr7ZBGamr9ZFQHy.ifc	3OJkD8bnr7ZBGamr9ZFQHy	IfcBuildingElementProxy	MiC_TYPE 3B2_LD1L & LD2R:MiC_TYPE 3B2_LD1L & LD2R:57130577	MiC_TYPE 3B2_LD1L & LD2R	MiC_TYPE 3B2_LD1L & LD2R	57130577
MiC_TYPE_1_2_MB2L_MB2R_MiC_TYPE_1_2_MB2L_MB2R_57130784_1DsuNIs$bADP4N2gjHGf1c.ifc	1DsuNIs$bADP4N2gjHGf1c	IfcBuildingElementProxy	MiC_TYPE 1.2_MB2L & MB2R:MiC_TYPE 1.2_MB2L & MB2R:57130784	MiC_TYPE 1.2_MB2L & MB2R	MiC_TYPE 1.2_MB2L & MB2R	57130784
MiC_TYPE_2_BT3L_BT3R_MiC_TYPE_2_BT3L_BT3R_57131005_1DsuNIs$bADP4N2gjHGf2x.ifc	1DsuNIs$bADP4N2gjHGf2x	IfcBuildingElementProxy	MiC_TYPE 2_BT3L & BT3R:MiC_TYPE 2_BT3L & BT3R:57131005	MiC_TYPE 2_BT3L & BT3R	MiC_TYPE 2_BT3L & BT3R	57131005
MiC_TYPE_1_1_MB3R_MiC_TYPE_1_1_MB3R_57131994_1DsuNIs$bADP4N2gjHGkoS.ifc	1DsuNIs$bADP4N2gjHGkoS	IfcBuildingElementProxy	MiC_TYPE 1.1_MB3R:MiC_TYPE 1.1_MB3R:57131994	MiC_TYPE 1.1_MB3R	MiC_TYPE 1.1_MB3R	57131994
MiC_TYPE_5_1_BR2_MiC_TYPE_5_1_BR2_57132416_1DsuNIs$bADP4N2gjHGkh6.ifc	1DsuNIs$bADP4N2gjHGkh6	IfcBuildingElementProxy	MiC_TYPE 5.1_BR2:MiC_TYPE 5.1_BR2:57132416	MiC_TYPE 5.1_BR2	MiC_TYPE 5.1_BR2	57132416
